公司名称-1700家,ProfitAbility,信用风险（企业查风险总量数）,营运效率（资产负债率）,管理能力（根据股权占比和公告合理给分）,发展潜力（根据行情直接给分）,技术创新能力（专家打分 先空着）,TotalScore,,,注意,
娜其尔,-0.06%,18,50.62%,9,10,,76,,,,
国创节能,4.50%,153,50.39%,11,12,,87,,,,
朝霞文化,5.76%,28,10.21%,12,10,,87,,,,
江苏迈达,10.98%,52,64.06%,9,无数据,,93,,,,
恒康药房,11.77%,9440,69.33%,11,12,,90,,,,
肯特智能,34.66%,55,37.72%,8,13,,91,,,,
自然种猪,-9.15%,23,16.67%,12,11,,77,,,,
纬而视,2.08%,77,48.71%,8,16,,87,,,,
裕峰环境,5.46%,102,38.62%,13,17,,91,,,,
唯车电商,23.59%,569,99.08%,8,9,,85,,,,
味正品康,12.60%,14,36.55%,12,9,,91,,,,
隆盛泰,-5.53%,190,13.74%,12,15,,78,,,,
宝鸿新材,3.07%,57,60.36%,12,无数据,,89,,,,
正中信息,2.64%,37,36.89%,12,13,,87,,,,
天诚通信,12.48%,213,54.07%,13,8,,87,,,,
智信信息,0.68%,32,19.38%,13,17,,83,,,,
群星明,6.19%,90,63.99%,7,16,,90,,,,
大地牧业,-21.97%,6066,84.03%,14,11,,68,,,,
惠而顺,5.19%,46,38.60%,12,12,,90,,,,
宏基新材,11.12%,15,44.87%,12,14,,93,,,,
中苏科技,13.52%,115,48.09%,14,11,,92,,,,
南大智慧,5.97%,151,63.03%,13,18,,92,,,,
东日环保,8.54%,14,49.51%,12,7,,92,,,,
睿中实业,-1.15%,86,27.55%,9,18,,80,,,,
风行测控,10.78%,26,17.11%,13,14,,90,,,,
卡特马克,12.24%,31,82.19%,10,12,,90,,,,
盛达科技,-2.07%,18,16.88%,13,17,,80,,,,
英华融泰,18.08%,21,19.16%,7,15,,89,,,,
润康科技,9.40%,45,63.87%,13,17,,94,,,,
长江期货,7.32%,645,86.46%,13,15,,88,,,,
雷神科技,5.97%,237,60.83%,11,12,,90,,,,
宇洪科技,2.81%,631,44.59%,11,10,,84,,,,
欣隆环保,4.15%,40,45.31%,12,11,,90,,,,
博可生物,4.82%,39,8.59%,13,12,,87,,,,
三向股份,-1.30%,40,61.55%,12,11,,81,,,,
润和催化,6.10%,202,50.46%,10,14,,85,,,,
高发气体,17.14%,100,55.30%,12,5,,88,,,,
瑞普股份,-2.52%,81,31.73%,12,11,,80,,,,
青岛积成,3.42%,202,38.35%,13,15,,86,,,,
瀚天智能,2.18%,40,49.64%,6,12,,86,,,,
新农人,12.55%,49,45.66%,12,11,,92,,,,
金鑫新材,12.42%,58,67.12%,6,14,,91,,,,
银山股份,1.71%,70,48.66%,11,12,,85,,,,
金米特,9.28%,52,25.41%,14,14,,91,,,,
百丰医药,3.62%,54,60.72%,13,15,,88,,,,
金发股份,11.00%,2439,42.61%,13,18,,91,,,,
华达建业,11.49%,25,28.43%,11,13,,91,,,,
铝泰股份,5.88%,19,34.85%,12,13,,90,,,,
建工新科,3.68%,278,48.05%,13,无数据,,88,,,,
天浩科技,7.98%,14,24.69%,12,无数据,,92,,,,
科隆智谷,3.03%,73,58.27%,13,12,,84,,,,
康亚药业,1.16%,115,26.94%,6,15,,81,,,,
西信信息,-32.85%,407,58.04%,9,11,,65,,,,
丽宫食品,17.24%,55,45.88%,13,11,,92,,,,
磐电科技,6.20%,18,30.72%,12,16,,90,,,,
卓奥科技,5.26%,18,26.07%,7,11,,87,,,,
同泽股份,7.77%,139,50.05%,12,12,,89,,,,
通慧科技,4.94%,53,40.92%,12,17,,92,,,,
华光源海,11.81%,103,62.33%,12,17,,94,,,,
轩慧科技,-3.12%,54,39.72%,12,16,,81,,,,
华泓新材,3.66%,34,39.75%,12,18,,88,,,,
云里物里,10.50%,63,26.53%,9,13,,90,,,,
农好股份,1.77%,97,34.36%,11,9,,83,,,,
小蝉传媒,-14.10%,22,93.98%,14,15,,73,,,,
佳合科技,7.53%,40,32.55%,11,12,,92,,,,
博瑞生物,2.69%,20,29.86%,12,12,,86,,,,
荣骏检测,9.52%,84,49.59%,6,13,,91,,,,
泰铂科技,6.46%,34,60.39%,11,无数据,,92,,,,
百达智能,7.33%,62,50.29%,12,12,,89,,,,
华清环境,1.97%,55,29.67%,13,18,,84,,,,
明易达,16.30%,69,60.52%,12,16,,93,,,,
晶石能源,9.16%,110,33.63%,12,12,,92,,,,
飞安瑞,5.08%,12,18.30%,12,11,,87,,,,
林海生态,8.45%,38,74.93%,13,12,,92,,,,
上海生农,11.35%,57,44.92%,8,18,,93,,,,
龙成消防,5.34%,38,70.51%,13,18,,91,,,,
昱品科技,2.40%,94,39.45%,12,15,,87,,,,
阳江港,1.01%,126,42.67%,12,无数据,,86,,,,
凯鸿物流,10.60%,128,67.04%,11,15,,93,,,,
四川赛狄,1.10%,33,28.44%,7,16,,82,,,,
新日月,19.64%,175,72.20%,14,10,,91,,,,
羊羊股份,0.28%,35,53.93%,10,11,,79,,,,
智林信息,0.51%,49,32.14%,6,13,,82,,,,
华兴科技,8.26%,12,41.42%,7,14,,92,,,,
启创环境,1.65%,112,45.30%,9,16,,84,,,,
时代银通,1.09%,17,38.31%,12,13,,84,,,,
腾飞人才,13.00%,595,58.13%,13,16,,86,,,,
喜跃发,3.76%,36,53.73%,12,15,,84,,,,
圣氏化学,2.12%,52,38.87%,8,11,,85,,,,
铁大科技,2.77%,183,40.19%,9,16,,87,,,,
长河科技,-0.29%,29,39.58%,8,11,,79,,,,
怡申股份,6.13%,110,68.79%,10,无数据,,91,,,,
鸿润食品,0.66%,163,53.86%,12,6,,80,,,,
富尔特,6.31%,52,47.36%,7,14,,90,,,,
艾瑞技术,1.38%,49,80.88%,10,15,,82,,,,
巴中公用,5.40%,1192,59.56%,14,无数据,,85,,,,
潮白环保,6.47%,62,36.13%,10,无数据,,90,,,,
海通期货,5.08%,1210,94.30%,13,5,,84,,,,
中物网,1.52%,52,52.30%,13,13,,81,,,,
天利热工,2.81%,62,39.00%,12,9,,86,,,,
妙音数科,9.50%,55,29.18%,12,10,,90,,,,
钢劲型钢,10.91%,64,61.26%,13,15,,93,,,,
零奔洋,2.02%,90,51.68%,11,10,,83,,,,
交设股份,5.07%,142,42.65%,10,11,,89,,,,
景弘盛,7.97%,61,53.31%,13,10,,88,,,,
天朔医疗,5.76%,20,55.78%,12,9,,86,,,,
康乾大成,9.83%,51,62.09%,12,16,,93,,,,
菁华生态,-5.11%,17,65.46%,8,12,,80,,,,
巍特环境,13.93%,29,36.87%,10,14,,91,,,,
中机试验,2.77%,457,41.52%,11,16,,85,,,,
弘高科技,-24.22%,89,87.95%,12,无数据,,73,,,,
渝网科技,13.92%,147,47.28%,10,5,,91,,,,
凯凯科技,4.93%,2348,44.65%,14,12,,88,,,,
宏宇环境,-1.02%,73,49.81%,14,13,,82,,,,
晋龙股份,7.96%,61,35.16%,9,11,,90,,,,
玮硕恒基,15.78%,130,44.59%,10,16,,92,,,,
益康药业,1.35%,2949,46.96%,9,10,,80,,,,
核力欣健,6.31%,41,46.32%,12,15,,91,,,,
恒泰新科,14.37%,187,34.82%,12,无数据,,93,,,,
四零七,5.86%,42,40.46%,13,11,,90,,,,
瑞华技术,5.11%,39,43.32%,13,13,,91,,,,
瀛海股份,1.35%,269,50.85%,12,7,,79,,,,
春阳股份,13.09%,113,85.85%,13,16,,91,,,,
花溪科技,11.03%,95,25.64%,13,15,,91,,,,
新威环境,12.43%,70,23.14%,12,17,,92,,,,
富铭环保,8.97%,60,28.57%,12,11,,90,,,,
码尚科技,5.55%,44,43.22%,8,无数据,,91,,,,
无锡鼎邦,13.12%,17,55.51%,12,17,,90,,,,
正潭股份,30.36%,29,44.44%,12,18,,94,,,,
快乐番薯,14.20%,19,48.13%,11,无数据,,94,,,,
伟大节能,-5.80%,324,84.92%,12,无数据,,78,,,,
天泉药业,3.35%,82,25.44%,7,无数据,,86,,,,
国子软件,1.70%,20,19.54%,13,无数据,,83,,,,
硕恩网络,11.61%,66,30.63%,11,16,,92,,,,
蓉中电气,5.94%,102,59.69%,8,10,,85,,,,
荣鑫股份,12.96%,328,45.19%,11,14,,91,,,,
东方世纪,-8.36%,48,50.40%,12,18,,78,,,,
油田科技,7.55%,54,10.41%,7,15,,89,,,,
源泉股份,5.51%,96,67.63%,11,10,,90,,,,
纬达光电,8.66%,287,7.66%,12,15,,88,,,,
永通生态,12.11%,30,27.32%,12,15,,91,,,,
和天下,4.23%,1435,52.70%,7,无数据,,84,,,,
渝欧跨境,13.72%,202,63.44%,10,18,,92,,,,
永昌股份,12.40%,55,67.86%,12,无数据,,94,,,,
新动向,-4.80%,33,37.39%,11,15,,81,,,,
绿洋环境,10.49%,5,53.37%,8,10,,87,,,,
畅越飞平,9.18%,32,21.60%,12,7,,90,,,,
华夏高科,6.05%,35,74.09%,12,17,,91,,,,
中基国威,9.07%,71,25.95%,8,14,,90,,,,
康远股份,4.76%,459,57.29%,12,14,,84,,,,
捷甬达,7.82%,43,63.22%,10,无数据,,93,,,,
云科数据,6.11%,42,69.90%,13,14,,91,,,,
欧瑞欣合,4.07%,171,18.03%,7,18,,88,,,,
佳农股份,12.96%,25,69.49%,12,17,,94,,,,
荣程新材,1.27%,116,76.60%,13,10,,83,,,,
金新城,14.08%,509,44.21%,12,无数据,,91,,,,
莱恩光电,17.21%,23,21.74%,4,14,,89,,,,
天朗节能,13.21%,42,56.41%,10,17,,89,,,,
民慧股份,3.15%,65,33.99%,12,16,,87,,,,
博菱电器,5.23%,1185,46.26%,13,16,,88,,,,
春晖园林,6.50%,71,50.99%,12,8,,86,,,,
友诚科技,4.63%,347,27.76%,13,11,,86,,,,
倍施特,4.12%,123,21.02%,8,12,,88,,,,
蓝天口腔,"1,88",44,45.56%,12,12,,93,,,,
山安蓝天,9.75%,1742,40.77%,12,13,,90,,,,
攸特电子,4.91%,47,71.49%,8,13,,89,,,,
朗晖数化,10.28%,102,42.65%,13,14,,93,,,,
三阳股份,5.18%,118,53.95%,12,无数据,,88,,,,
绿林幼教,10.00%,157,45.79%,11,无数据,,94,,,,
山东博丽,18.93%,13,41.42%,12,无数据,,94,,,,
泰鹏智能,22.91%,68,74.03%,12,15,,92,,,,
高新公用,3.68%,55,67.14%,12,无数据,,89,,,,
中天行,-6.82%,44,63.38%,12,5,,80,,,,
天宏锂电,11.29%,24,53.35%,7,11,,87,,,,
爱特电子,1.68%,82,32.37%,8,6,,82,,,,
新赣江,9.41%,60,15.12%,13,9,,89,,,,
康源堂,11.02%,7,31.23%,11,16,,92,,,,
擎雷科技,12.23%,3,33.21%,11,无数据,,93,,,,
花巷股份,7.18%,78,54.90%,8,11,,87,,,,
如是集团,0.17%,601,28.80%,10,无数据,,80,,,,
百诺环境,6.12%,413,30.33%,12,15,,87,,,,
睿高股份,5.77%,38,50.90%,13,15,,87,,,,
科苑生物,3.08%,57,23.00%,12,13,,86,,,,
苏北股份,7.52%,71,46.79%,12,5,,92,,,,
联通智控,3.79%,2453,50.63%,11,无数据,,82,,,,
高达股份,9.65%,495,61.05%,13,17,,91,,,,
秦燕科技,17.35%,81,18.55%,11,无数据,,91,,,,
鲁铭新材,7.81%,174,54.13%,12,14,,89,,,,
骏峰科技,5.92%,111,37.09%,12,14,,90,,,,
九菱科技,5.05%,30,19.52%,13,13,,88,,,,
华齿口腔,-9.54%,215,82.30%,8,15,,77,,,,
佳能科技,10.19%,9623,41.62%,11,15,,90,,,,
东海长城,3.76%,205,56.21%,13,14,,83,,,,
中超伟业,-15.37%,82,45.85%,12,15,,76,,,,
汉森机械,9.98%,23,48.28%,6,16,,91,,,,
威宁能源,2.56%,514,83.36%,12,15,,83,,,,
凯利核服,6.89%,139,28.47%,12,14,,89,,,,
卡尔斯,10.29%,98,25.51%,8,10,,89,,,,
晓达股份,0.96%,11,54.88%,12,11,,80,,,,
中延菌业,1.25%,152,41.06%,12,12,,85,,,,
华阳制动,1.88%,52,56.50%,11,8,,80,,,,
捷创新材,8.47%,72,35.25%,7,13,,91,,,,
生态家园,10.45%,1,57.63%,11,无数据,,90,,,,
聚脉文化,3.97%,161,37.22%,12,14,,87,,,,
德桥股份,10.45%,31,71.61%,11,7,,91,,,,
隆基电磁,7.67%,761,40.89%,8,10,,88,,,,
齐鲁云商,8.16%,587,24.73%,10,11,,86,,,,
天一恩华,45.62%,39,58.76%,11,无数据,,90,,,,
苏一工院,12.19%,26,42.54%,12,11,,92,,,,
宝润达,3.83%,90,45.49%,11,10,,87,,,,
联城科技,4.90%,45,64.99%,11,无数据,,92,,,,
鼎丰股份,9.84%,32,24.65%,7,8,,89,,,,
银杉股份,10.26%,59,60.11%,6,11,,90,,,,
新中南,0.68%,9,32.43%,11,15,,84,,,,
山脉科技,-0.70%,116,42.11%,6,12,,80,,,,
思创科技,1.89%,758,19.96%,12,14,,79,,,,
崤云信息,-3.24%,52,23.81%,11,15,,80,,,,
小护士,0.36%,77,48.09%,12,12,,85,,,,
博克斯,8.98%,36,11.04%,10,11,,88,,,,
智慧交通,4.68%,389,34.63%,7,无数据,,88,,,,
三新股份,11.12%,21,44.30%,11,14,,93,,,,
金兰股份,15.13%,23,47.95%,5,14,,91,,,,
牧同科技,5.37%,47,30.35%,5,17,,89,,,,
华友文保,4.28%,27,14.91%,12,12,,88,,,,
先锋股份,1.40%,17,21.99%,9,无数据,,83,,,,
信测通信,10.49%,15,13.35%,6,无数据,,89,,,,
华联医疗,10.47%,84,31.45%,11,11,,91,,,,
华成工控,5.20%,524,26.76%,11,12,,86,,,,
明远创意,7.94%,25,58.32%,11,15,,89,,,,
博大新材,7.23%,45,52.07%,11,无数据,,90,,,,
坤博精工,10.78%,18,44.60%,9,9,,91,,,,
斯迈特,9.13%,35,43.41%,10,10,,91,,,,
西诺稀贵,7.18%,52,56.10%,11,11,,88,,,,
天力复合,14.36%,76,55.71%,12,13,,89,,,,
菲尔特,5.08%,67,63.03%,11,12,,91,,,,
新环精密,6.74%,755,41.43%,11,10,,87,,,,
鼎智科技,38.43%,87,26.51%,11,16,,91,,,,
振通检测,6.22%,22,32.28%,10,17,,90,,,,
辛巴科技,8.33%,7,81.06%,11,无数据,,92,,,,
联康信息,13.49%,61,48.47%,11,12,,93,,,,
超达新材,7.19%,1020,18.66%,11,无数据,,88,,,,
禧屋科技,17.95%,85,80.31%,8,无数据,,91,,,,
中能泰富,6.69%,46,6.14%,6,10,,84,,,,
博达软件,-11.18%,36,33.74%,9,13,,74,,,,
隆基仪表,2.70%,201,56.84%,4,11,,80,,,,
牦牛控股,8.17%,83,22.40%,6,8,,88,,,,
常荣电器,4.41%,26,15.51%,10,无数据,,88,,,,
科强股份,5.01%,94,21.23%,5,7,,86,,,,
冠森科技,7.77%,33,20.94%,8,7,,89,,,,
坤隆股份,2.08%,83,48.40%,11,7,,87,,,,
安达创展,3.63%,42,37.34%,11,11,,86,,,,
前进科技,5.41%,12,12.35%,11,无数据,,89,,,,
林泰新材,3.68%,70,43.28%,6,16,,86,,,,
讯方技术,2.62%,89,49.02%,7,6,,86,,,,
捷众科技,4.06%,22,15.99%,7,7,,86,,,,
阿为特,4.60%,41,27.28%,11,无数据,,90,,,,
XD海宏液,9.05%,303,29.13%,5,12,,87,,,,
捷瑞数字,12.69%,66,42.13%,5,无数据,,92,,,,
旭宇光电,1.04%,34,42.98%,11,15,,85,,,,
铁拓机械,4.15%,39,40.18%,10,16,,90,,,,
博生医材,5.66%,34,11.66%,10,5,,86,,,,
金则利,7.44%,101,20.01%,9,16,,90,,,,
能之光,7.42%,100,49.71%,5,8,,90,,,,
万源通,4.80%,92,72.03%,10,11,,88,,,,
浙江旅游,-1.71%,512,19.08%,11,15,,76,,,,
华腾新材,0.03%,308,15.06%,10,16,,79,,,,
佰源装备,5.27%,139,23.22%,11,8,,88,,,,
汉和生物,16.39%,176,50.19%,11,14,,89,,,,
盛富莱,6.42%,137,19.40%,6,无数据,,87,,,,
远图股份,13.83%,104,61.30%,10,15,,92,,,,
彩客科技,0.21%,39,43.04%,10,8,,83,,,,
帮安迪,0.15%,61,29.78%,8,17,,83,,,,
鸿基节能,0.12%,150,63.01%,7,7,,83,,,,
科能熔敷,0.11%,679,26.22%,5,17,,79,,,,
温多利,0.19%,25,9.15%,10,无数据,,81,,,,
祥瑞生物,0.33%,57,30.93%,10,无数据,,84,,,,
岷山环能,0.16%,2738,56.43%,7,14,,77,,,,
晶华光电,2.39%,117,35.02%,10,6,,85,,,,
迪尔生物,0.10%,22,15.65%,10,无数据,,82,,,,
恒道医药,0.43%,206,41.34%,7,12,,83,,,,
靓时新材,0.15%,33,31.08%,10,无数据,,84,,,,
百金股份,0.13%,342,34.24%,8,无数据,,82,,,,
